frame,source_frame,header_time,bag_time,x,y,z,range,radial_velocity,intensity,label_status
0,0,1649362918.725905,1763539034.076021,221.47239685058594,7.27931022644043,12.948713302612305,221.97000122070312,0.0,23.0,trajectory-guided pseudo ground truth
0,0,1649362918.725905,1763539034.076021,221.4298858642578,7.277998447418213,12.990665435791016,221.92999267578125,0.0,25.0,trajectory-guided pseudo ground truth
0,0,1649362918.725905,1763539034.076021,221.46055603027344,7.478973388671875,13.036910057067871,221.96998596191406,-0.2199999988079071,21.0,trajectory-guided pseudo ground truth
0,0,1649362918.725905,1763539034.076021,221.39617919921875,7.165800094604492,12.944256782531738,221.88999938964844,0.0,21.0,trajectory-guided pseudo ground truth
0,0,1649362918.725905,1763539034.076021,221.45863342285156,7.16773796081543,12.903465270996094,221.9499969482422,0.10000000149011612,20.0,trajectory-guided pseudo ground truth
1,1,1649362919.725928,1763539035.0743217,221.4794158935547,7.435274600982666,13.08246898651123,221.99002075195312,-0.33000001311302185,24.0,trajectory-guided pseudo ground truth
1,1,1649362919.725928,1763539035.0743217,221.4919891357422,7.435609340667725,13.038759231567383,222.0,-0.33000001311302185,23.0,trajectory-guided pseudo ground truth
1,1,1649362919.725928,1763539035.0743217,221.49855041503906,7.169029712677002,12.905791282653809,221.99000549316406,-0.10999999940395355,41.0,trajectory-guided pseudo ground truth
1,1,1649362919.725928,1763539035.0743217,221.49114990234375,7.16870641708374,12.860910415649414,221.97999572753906,-0.2199999988079071,47.0,trajectory-guided pseudo ground truth
1,1,1649362919.725928,1763539035.0743217,221.53106689453125,7.169998645782471,12.863228797912598,222.02000427246094,-0.2199999988079071,39.0,trajectory-guided pseudo ground truth
1,1,1649362919.725928,1763539035.0743217,221.54360961914062,7.170321464538574,12.819499015808105,222.03001403808594,-0.10999999940395355,42.0,trajectory-guided pseudo ground truth
1,1,1649362919.725928,1763539035.0743217,221.54615783691406,7.170321464538574,12.775190353393555,222.0299835205078,-0.10999999940395355,39.0,trajectory-guided pseudo ground truth
2,2,1649362920.725948,1763539036.0754592,221.55184936523438,7.437618732452393,13.042283058166504,222.05999755859375,-0.2199999988079071,18.0,trajectory-guided pseudo ground truth
2,2,1649362920.725948,1763539036.0754592,221.55445861816406,7.437618732452393,12.997973442077637,222.05999755859375,-0.2199999988079071,21.0,trajectory-guided pseudo ground truth
2,2,1649362920.725948,1763539036.0754592,221.61691284179688,7.4396281242370605,12.957161903381348,222.1199951171875,-0.10999999940395355,20.0,trajectory-guided pseudo ground truth
2,2,1649362920.725948,1763539036.0754592,221.68936157226562,7.4419732093811035,12.916909217834473,222.1900177001953,-0.2199999988079071,18.0,trajectory-guided pseudo ground truth
2,2,1649362920.725948,1763539036.0754592,221.56838989257812,7.171290397644043,12.909860610961914,222.05999755859375,-0.2199999988079071,30.0,trajectory-guided pseudo ground truth
2,2,1649362920.725948,1763539036.0754592,221.56838989257812,7.171290397644043,12.909860610961914,222.05999755859375,-0.2199999988079071,36.0,trajectory-guided pseudo ground truth
2,2,1649362920.725948,1763539036.0754592,221.5709686279297,7.171290397644043,12.865545272827148,222.05999755859375,-0.2199999988079071,31.0,trajectory-guided pseudo ground truth
2,2,1649362920.725948,1763539036.0754592,221.57354736328125,7.171290397644043,12.8212308883667,222.0600128173828,-0.2199999988079071,16.0,trajectory-guided pseudo ground truth
2,2,1649362920.725948,1763539036.0754592,221.63595581054688,7.173227787017822,12.78036880493164,222.1199951171875,-0.10999999940395355,20.0,trajectory-guided pseudo ground truth
3,3,1649362921.72597,1763539037.082085,221.56700134277344,7.371037483215332,12.820853233337402,222.05999755859375,0.20999999344348907,33.0,trajectory-guided pseudo ground truth
3,3,1649362921.72597,1763539037.082085,221.56187438964844,7.371037483215332,12.909480094909668,222.0600128173828,0.20999999344348907,31.0,trajectory-guided pseudo ground truth
4,4,1649362922.725991,1763539038.0634234,221.3671417236328,8.674860954284668,13.031410217285156,221.91998291015625,0.0,17.0,trajectory-guided pseudo ground truth
4,4,1649362922.725991,1763539038.0634234,221.39837646484375,8.676033973693848,13.011033058166504,221.95001220703125,0.10000000149011612,27.0,trajectory-guided pseudo ground truth
