frame,cx,cy,cz,height,background,neighborhood,cluster,source_frame,header_time,bag_time,raw,intensity,height_direct,median_vr,mean_intensity,range,center_observed,center_support
47,221.02166748046875,15.091086387634277,12.375389099121094,6,6,0,0,47,1649362965.726938,1763539081.0766027,6,6,6,-0.054999999701976776,27.33333396911621,221.88165458090623,True,6
48,220.71783447265625,20.197446823120117,12.081292152404785,11,11,11,11,48,1649362966.72696,1763539082.0673714,11,11,11,-0.2199999988079071,30.636363983154297,221.96904498723106,True,11
49,220.4601287841797,25.259401321411133,11.8880033493042,14,14,14,14,49,1649362967.72698,1763539083.0745683,15,14,14,-0.4300000071525574,31.85714340209961,222.22067942089967,True,14
50,220.0659637451172,30.94008159637451,11.682644844055176,0,0,0,0,50,1649362968.727006,1763539084.0643806,0,0,0,nan,nan,222.53719068688244,False,0
51,219.6717987060547,36.62076187133789,11.477286338806152,9,9,9,9,51,1649362969.727023,1763539085.0684712,9,9,9,-0.4300000071525574,29.0,222.99889562169045,True,9
52,219.1966094970703,42.01604080200195,11.224833488464355,14,14,14,14,52,1649362970.727045,1763539086.0666296,14,14,14,-0.5400000214576721,30.071428298950195,223.46923319895825,True,14
53,218.66928100585938,45.726234436035156,11.133894920349121,11,11,11,11,53,1649362971.72707,1763539087.0722764,11,11,11,0.10000000149011612,28.909090042114258,223.6763433790353,True,11
54,218.65110778808594,44.28761291503906,11.241253852844238,9,9,9,9,54,1649362972.727092,1763539088.067588,9,9,9,0.5299999713897705,30.11111068725586,223.3742719805788,True,9
55,218.9337158203125,40.77557373046875,11.372858047485352,17,17,17,17,55,1649362973.727114,1763539089.0705557,17,17,17,0.41999998688697815,30.764705657958984,222.9887020369115,True,17
56,219.3160858154297,36.59444808959961,11.417855262756348,7,7,7,7,56,1649362974.727133,1763539090.0706077,7,7,7,0.41999998688697815,25.428571701049805,222.64111603022604,True,7
57,219.7390594482422,31.276588439941406,11.34125804901123,3,3,3,3,57,1649362975.727155,1763539091.0670967,3,3,3,0.5299999713897705,25.66666603088379,222.24334268043634,True,3
58,219.9047393798828,25.546491622924805,11.347719192504883,9,9,9,9,58,1649362976.727181,1763539092.0714679,9,9,9,0.3199999928474426,31.44444465637207,221.67428440585138,True,7
59,220.296875,19.29030990600586,11.517303466796875,21,21,15,15,59,1649362977.727201,1763539093.0692225,21,21,21,0.10000000149011612,28.761905670166016,221.43955714863066,True,21
