frame,timestamp,track_id,predicted,cx,cy,cz,range,n_points,dynamic_points,target_share,diameter,span_x,span_y,span_z,radial_thickness,tangential_radius_max,intensity_q25,intensity_median,intensity_q75,vr_q25,vr_median,vr_q75,n_dynamic_clusters,cluster_size_rank,nearest_other_cluster,pseudo_center_distance,static_count,lost_count,step_xy,geometric_dr
8,1649362926.0,1,False,220.0619354248047,20.583154678344727,12.576763153076172,221.3799824980392,9,35,0.2571428571428571,0.3158008841080869,0.152099609375,0.20839500427246094,0.2247142791748047,0.1399286457317086,0.19099781298176174,27.0,32.0,38.0,-0.10999999940395355,-0.10999999940395355,0.0,15,2,40.908592224121094,2.132480599880018e-06,0,0,nan,0.08876636888825828
9,1649362927.0,1,False,219.80636596679688,24.048290252685547,12.459853172302246,221.46874886692746,8,30,0.26666666666666666,0.18218228562532293,0.094329833984375,0.09566116333007812,0.15270328521728516,0.09001971196112386,0.10351405591552869,22.75,34.0,37.75,-0.2199999988079071,-0.2199999988079071,-0.08249999955296516,15,1,54.77656936645508,9.5367431640625e-07,0,0,3.474547495204044,0.10686167258494095
10,1649362928.0,1,False,219.51080322265625,27.676620483398438,12.360518455505371,221.59370584320908,8,33,0.24242424242424243,0.39866906003676245,0.1605072021484375,0.3473396301269531,0.2177410125732422,0.18993770340588162,0.21767931323725123,19.0,26.0,33.5,-0.2475000023841858,-0.2199999988079071,-0.19249999895691872,14,2,49.90848922729492,2.132480599880018e-06,0,0,3.6403485545794916,0.17971430583817494
11,1649362929.0,1,False,219.26475524902344,31.323972702026367,12.227680206298828,221.8281774786038,11,32,0.34375,0.2688261997314022,0.1600189208984375,0.13882827758789062,0.2143707275390625,0.14002644051830754,0.11818415827741395,29.5,31.0,38.5,-0.4300000071525574,-0.4300000071525574,-0.33000001311302185,17,1,18.75289535522461,1.5377536293599222e-05,0,0,3.655641915185197,0.2568791138395312
12,1649362930.0,1,False,218.96693420410156,35.20120620727539,12.086455345153809,222.10746407088814,12,36,0.3333333333333333,0.26233849793194497,0.1554718017578125,0.15987777709960938,0.23951435089111328,0.14000765892382283,0.1441599044312696,22.25,26.5,31.0,-0.4300000071525574,-0.33000001311302185,-0.33000001311302185,20,1,57.567928314208984,3.076985512714706e-05,0,0,3.8886549125660386,0.3002814224819872
13,1649362931.0,1,False,218.65869140625,39.008609771728516,11.884845733642578,222.42874032356778,8,18,0.4444444444444444,0.26816657996203946,0.2286376953125,0.1392669677734375,0.19502544403076172,0.20002575059074992,0.11718085887118451,21.5,22.5,25.25,-0.4300000071525574,-0.4300000071525574,-0.33000001311302185,11,1,88.22490692138672,3.814697265625e-06,0,0,3.8198606682754437,0.3941791103559069
14,1649362932.0,1,False,218.39747619628906,42.981998443603516,11.731913566589355,222.89582229159996,12,23,0.5217391304347826,0.34329076487073834,0.1457977294921875,0.09454345703125,0.29910850524902344,0.14999574848234604,0.16382183715544915,19.75,22.0,30.0,-0.6499999761581421,-0.6499999761581421,-0.5400000214576721,12,1,80.80867004394531,1.71661376953125e-05,0,0,3.98196571101504,0.5697851028501049
15,1649362933.0,1,False,218.24798583984375,47.06773376464844,11.629040718078613,223.568310529268,12,26,0.46153846153846156,0.31282543800747525,0.2082061767578125,0.24384307861328125,0.2366809844970703,0.17004887962255194,0.1689959428885361,23.5,28.5,33.25,-0.8600000143051147,-0.75,-0.6499999761581421,14,1,38.551475524902344,1.5843627668224478e-05,0,0,4.088469209900473,0.6320639139831599
16,1649362934.0,1,False,217.96363830566406,51.06143569946289,11.500669479370117,224.15995011956628,13,36,0.3611111111111111,0.4919514407518783,0.3093719482421875,0.31591033935546875,0.277496337890625,0.2300461519539173,0.267892931454263,19.0,26.0,29.0,-0.5400000214576721,-0.5400000214576721,-0.5400000214576721,18,1,73.66694641113281,9.5367431640625e-07,0,0,4.003811766846036,0.35247383284716705
17,1649362935.0,1,False,217.99769592285156,51.43006134033203,11.421370506286621,224.27325819496232,9,20,0.45,0.4963204329378959,0.276153564453125,0.3825035095214844,0.24826717376708984,0.18023374941087472,0.33917965892404695,26.0,28.0,29.0,0.0,0.10000000149011612,0.10000000149011612,12,1,87.4728775024414,0.0,1,0,0.3701956028840361,-0.019314519478768943
18,1649362936.0,1,False,218.3369903564453,49.250389099121094,11.563925743103027,224.12132108060874,7,19,0.3684210526315789,0.5347516374840414,0.2711334228515625,0.4633445739746094,0.16426467895507812,0.1899161658329801,0.3190982915722984,25.0,32.0,36.5,0.05000000074505806,0.20999999344348907,0.3199999928474426,13,1,76.38370513916016,0.0,0,0,2.2059219822498743,-0.2166462679059009
19,1649362937.0,1,False,218.6392059326172,46.552162170410156,11.581193923950195,223.83996565915052,5,17,0.29411764705882354,0.373575142526291,0.219573974609375,0.3077583312988281,0.08744621276855469,0.14983185544460412,0.269969951776419,22.0,23.0,28.0,0.3199999928474426,0.3199999928474426,0.3199999928474426,12,1,87.75711822509766,0.0,0,0,2.715099043000413,-0.333720497665567
20,1649362938.0,1,False,218.9164581298828,43.28475570678711,11.560744285583496,223.4538800852776,10,29,0.3448275862068966,0.5313319134768009,0.283294677734375,0.5191497802734375,0.22648048400878906,0.25001490937665183,0.33466453434996124,21.0,25.5,30.25,0.41999998688697815,0.41999998688697815,0.41999998688697815,17,1,80.16825103759766,3.814697265625e-06,0,0,3.279148331413857,-0.41002934742047614
21,1649362939.0,1,False,219.22232055664062,39.29505920410156,11.634061813354492,223.01990696430957,5,24,0.20833333333333334,0.5534118355619158,0.2068939208984375,0.5287590026855469,0.0829610824584961,0.12001131642226212,0.2956042594426539,22.0,27.0,28.0,0.3199999928474426,0.3199999928474426,0.3199999928474426,14,1,79.0242919921875,3.814697265625e-06,0,0,4.001403504727243,-0.40575612318481546
22,1649362940.0,1,False,219.42446899414062,35.85009002685547,11.717397689819336,222.64236783890797,8,18,0.4444444444444444,0.6052206653579384,0.4358978271484375,0.5206565856933594,0.21841716766357422,0.44001960585667155,0.3218277138043306,17.0,22.0,31.25,0.3199999928474426,0.3199999928474426,0.41999998688697815,11,1,76.62985229492188,0.0,0,0,3.450895046645047,-0.3105232094624597
23,1649362941.0,1,False,219.8182830810547,31.67706871032715,11.736222267150879,222.39886054538465,10,29,0.3448275862068966,0.5477775590026996,0.296844482421875,0.47439002990722656,0.21033287048339844,0.2299113396846032,0.30918315746571673,24.75,27.5,35.25,0.12749999947845936,0.20999999344348907,0.29249999299645424,15,1,55.8858757019043,3.053247564999031e-05,0,0,4.191562530041955,-0.22265385363260748
24,1649362942.0,1,False,220.08078002929688,28.181028366088867,11.908544540405273,222.19706013164276,7,25,0.28,0.5162892073293578,0.1635894775390625,0.50518798828125,0.14008712768554688,0.16998529106121218,0.3537763981555841,14.5,19.0,26.5,0.10000000149011612,0.20999999344348907,0.3199999928474426,17,1,72.52237701416016,1.5407080098536978e-05,0,0,3.5058811640411003,-0.1680385769376045
25,1649362943.0,1,False,220.45790100097656,23.832109451293945,11.925779342651367,222.06278339150944,7,22,0.3181818181818182,0.38630644990794066,0.1632843017578125,0.3441009521484375,0.14753246307373047,0.14000239195683806,0.2505762826147723,17.5,25.0,33.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,16,1,59.671043395996094,0.0,0,0,4.3652395071452466,-0.16859559097038357
26,1649362944.0,1,False,220.5911407470703,20.42209243774414,12.012002944946289,221.859868949702,5,23,0.21739130434782608,0.5105779255049189,0.1217803955078125,0.4924793243408203,0.1293344497680664,0.07999920552596439,0.30584263185741734,23.0,25.0,28.0,0.0,0.10000000149011612,0.10000000149011612,18,1,50.77414321899414,0.0,0,0,3.4126190620457852,-0.1127339967578962
27,1649362945.0,1,False,220.86871337890625,16.821218490600586,12.076943397521973,221.83731539799365,4,21,0.19047619047619047,0.7275913095805518,0.31134033203125,0.68231201171875,0.09621238708496094,0.2695055273654422,0.47158000616216517,23.75,28.0,30.5,-0.10999999940395355,-0.054999999701976776,0.02500000037252903,15,1,53.50157165527344,0.0,0,0,3.611556416444513,-0.01127677585417075
28,1649362946.0,1,True,220.86871337890625,16.821218490600586,12.076943397521973,221.83731539799365,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,12,0,nan,3.0407641362502997,0,1,0.0,0.11176507596537988
29,1649362947.0,1,False,221.4862823486328,10.355337142944336,12.149602890014648,222.0608455499244,10,23,0.43478260869565216,0.5667240350188217,0.2218170166015625,0.5105915069580078,0.19472503662109375,0.19001775382051647,0.27839445353962766,21.25,29.0,32.75,-0.2199999988079071,-0.2199999988079071,-0.2199999988079071,10,1,96.39665222167969,0.10587020362466265,0,0,6.495307000776648,0.11176507596537988
30,1649362948.0,1,True,221.4862823486328,10.355337142944336,12.149602890014648,222.0608455499244,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,15,0,nan,3.1925699976573445,0,1,0.0,0.1665305307053444
31,1649362949.0,1,False,221.99887084960938,4.6788153648376465,12.395956039428711,222.3939066113351,5,30,0.16666666666666666,0.5290103932060194,0.071533203125,0.511436939239502,0.13150787353515625,0.06000838705928839,0.4139360764080165,26.0,27.0,36.0,-0.4300000071525574,-0.33000001311302185,-0.33000001311302185,22,1,34.881961822509766,1.52587890625e-05,0,0,5.699618098491594,0.3645231574112131
32,1649362950.0,1,False,222.4340362548828,1.6103845834732056,12.483673095703125,222.78989186474683,14,25,0.56,0.6690831450631235,0.269317626953125,0.6022881269454956,0.23737049102783203,0.2599500777745717,0.35815052301846945,23.0,26.5,32.25,-0.4300000071525574,-0.4300000071525574,-0.33000001311302185,10,1,29.457216262817383,9.5367431640625e-07,0,0,3.099134780865716,0.3269822244584901
33,1649362951.0,1,False,222.6935272216797,-0.8029918670654297,12.541966438293457,223.04787106025208,5,19,0.2631578947368421,0.5357073791871337,0.18359375,0.49108290672302246,0.17148494720458984,0.18014783610487256,0.2850050356331936,23.0,25.0,25.0,-0.2199999988079071,-0.2199999988079071,-0.2199999988079071,12,1,52.70811462402344,0.0,0,0,2.427286850346213,0.25887103196481576
34,1649362952.0,1,False,222.9319610595703,-3.282548427581787,12.524575233459473,223.30763392867647,9,24,0.375,0.5723217789215637,0.1524200439453125,0.49301576614379883,0.2612028121948242,0.15007555721021712,0.32187579888436973,22.0,27.0,28.0,-0.33000001311302185,-0.33000001311302185,-0.2199999988079071,15,1,39.52830123901367,0.0,0,0,2.490994064997137,0.2367117177527689
35,1649362953.0,1,False,223.091796875,-5.828500270843506,12.563751220703125,223.52129449575762,14,28,0.5,0.8404492497029512,0.347076416015625,0.8298983573913574,0.2387228012084961,0.34980128385527465,0.4744353611118331,19.25,24.5,32.0,-0.33000001311302185,-0.2750000059604645,-0.2199999988079071,12,1,86.18517303466797,9.5367431640625e-07,0,0,2.550964185578037,0.21201125308543567
36,1649362954.0,1,False,223.23377990722656,-8.119675636291504,12.51417064666748,223.73165643484734,6,22,0.2727272727272727,0.15129274525196942,0.0848236083984375,0.002902984619140625,0.13169479370117188,0.0799964931790197,0.06707701176294847,24.25,27.0,29.75,-0.33000001311302185,-0.33000001311302185,-0.33000001311302185,17,1,24.19281578063965,0.0,0,0,2.2955704599676343,0.22432993584054373
37,1649362955.0,1,False,223.3756561279297,-10.354897499084473,12.594951629638672,223.9699543674387,8,29,0.27586206896551724,0.3356777986745527,0.196929931640625,0.2684669494628906,0.17939090728759766,0.17995779500179987,0.1877400932594371,23.0,30.0,33.0,-0.33000001311302185,-0.2750000059604645,-0.2199999988079071,20,1,42.189544677734375,1.52587890625e-05,0,0,2.239719990960627,0.2249518570586133
38,1649362956.0,1,False,223.47607421875,-12.46928882598877,12.662266731262207,224.18156014896456,6,16,0.375,0.5444574774019979,0.194427490234375,0.5404319763183594,0.08767223358154297,0.20996675621031552,0.3928945238198683,21.5,23.0,23.0,-0.4050000086426735,-0.33000001311302185,-0.2475000023841858,10,1,29.1634578704834,1.52587890625e-05,0,0,2.116774545446942,0.15214890116676827
39,1649362957.0,1,False,223.50840759277344,-13.49315357208252,12.683324813842773,224.27425216977224,7,18,0.3888888888888889,0.38103948601099935,0.1197967529296875,0.3430204391479492,0.27081966400146484,0.12010475617703671,0.22568119564215183,23.0,32.0,33.5,0.10000000149011612,0.10000000149011612,0.20999999344348907,12,1,40.416587829589844,1.5407080098536978e-05,1,0,1.0243751585085215,-0.08777875745415997
40,1649362958.0,1,False,223.3075714111328,-12.193337440490723,12.796104431152344,224.00600263405624,5,18,0.2777777777777778,0.19008001927299845,0.127044677734375,0.09329414367675781,0.15999603271484375,0.13000912083759603,0.09310578000925529,18.0,22.0,37.0,0.3199999928474426,0.3199999928474426,0.41999998688697815,13,1,35.38333511352539,9.5367431640625e-07,2,0,1.3152403384181348,-0.3038059729298652
41,1649362959.0,1,False,223.07659912109375,-9.80835247039795,12.938048362731934,223.6666402239125,3,8,0.375,0.23435392533751315,0.0795440673828125,0.22216033935546875,0.04691886901855469,0.06993670107705607,0.14986446199749254,24.5,26.0,31.0,0.42499998211860657,0.5299999713897705,0.5299999713897705,6,1,107.71914672851562,0.0,0,0,2.3961430479698653,-0.350862951600476
42,1649362960.0,1,False,222.81808471679688,-6.85117244720459,13.036969184875488,223.3042767308553,7,23,0.30434782608695654,0.17196853174792465,0.1450347900390625,0.08959007263183594,0.13385677337646484,0.13999547513040553,0.08581964521184146,27.0,27.0,29.5,0.26499999314546585,0.3199999928474426,0.41999998688697815,15,1,47.390716552734375,1.5325697593677708e-05,0,0,2.968458082372538,-0.3733434908040323
43,1649362961.0,1,False,222.50784301757812,-3.534726858139038,13.079413414001465,222.91995324230444,7,23,0.30434782608695654,0.31310078182817874,0.12677001953125,0.20201659202575684,0.2174072265625,0.1199951762846223,0.16472992652721577,20.5,24.0,25.5,0.41999998688697815,0.41999998688697815,0.5299999713897705,15,1,17.93080711364746,1.528856233776226e-05,0,0,3.3309249852205456,-0.3771431699686474
44,1649362962.0,1,False,222.170654296875,0.25965890288352966,12.985806465148926,222.549990390918,6,16,0.375,0.3322350005570564,0.234527587890625,0.22288082540035248,0.19818401336669922,0.2299821442500447,0.149523382036873,21.25,28.0,39.25,0.3724999874830246,0.5299999713897705,0.5299999713897705,9,1,45.40152359008789,1.52588181663027e-05,0,0,3.8093384644607546,-0.3733227063471105
45,1649362963.0,1,False,221.7413787841797,5.057707786560059,12.890276908874512,222.17330782961022,9,19,0.47368421052631576,0.3639122175573083,0.1558990478515625,0.3333592414855957,0.14072227478027344,0.1600218103486323,0.1943697782408986,24.0,31.0,35.0,0.20999999344348907,0.3199999928474426,0.3199999928474426,10,1,43.90226364135742,1.5377536293599222e-05,0,0,4.817213982786047,-0.2933467124699547
46,1649362964.0,1,False,221.3805389404297,9.923378944396973,12.6447114944458,221.9632969659781,9,19,0.47368421052631576,0.352251509909113,0.10479736328125,0.3313179016113281,0.1573190689086914,0.10000031666603465,0.17760718810965906,25.0,28.0,30.0,0.10000000149011612,0.10000000149011612,0.20999999344348907,11,1,52.1916618347168,9.5367431640625e-07,0,0,4.87903281491768,-0.10500543181606758
47,1649362965.0,1,True,221.3805389404297,9.923378944396973,12.6447114944458,221.9632969659781,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,12,0,nan,5.187149843246113,0,1,0.0,0.0028892701806597643
48,1649362966.0,1,False,220.71786499023438,20.19744873046875,12.081292152404785,221.9690755063394,11,24,0.4583333333333333,0.3361388156244851,0.1153411865234375,0.12143516540527344,0.30739593505859375,0.12006117743800424,0.17375605515492287,24.0,31.0,38.0,-0.2199999988079071,-0.2199999988079071,-0.2199999988079071,13,1,60.99493408203125,3.057712467552452e-05,0,0,10.295418725498271,0.12871382590972757
49,1649362967.0,1,False,220.46017456054688,25.2593994140625,11.8880033493042,222.22072461779754,14,24,0.5833333333333334,0.25363940327012885,0.137420654296875,0.09628677368164062,0.24132156372070312,0.1399968727001672,0.1410843085366139,29.25,33.0,39.75,-0.5125000178813934,-0.4300000071525574,-0.4300000071525574,11,1,65.53707122802734,4.5816086385590795e-05,0,0,5.068505606259873,0.1258245557290678
50,1649362968.0,1,True,220.46017456054688,25.2593994140625,11.8880033493042,222.22072461779754,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,18,0,nan,5.698045659620236,0,1,0.0,0.38907733539151934
51,1649362969.0,1,False,219.67178344726562,36.62075424194336,11.477285385131836,222.99887928858058,9,19,0.47368421052631576,0.2787450804041246,0.1372222900390625,0.13132858276367188,0.2139120101928711,0.13000680516148347,0.13276316938848792,24.0,27.0,35.0,-0.4300000071525574,-0.4300000071525574,-0.4300000071525574,11,1,76.36420440673828,1.7086480014008443e-05,0,0,11.388676133445562,0.6242542666288671
52,1649362970.0,1,False,219.1966094970703,42.01604080200195,11.224832534790039,223.46923315105528,14,28,0.5,0.38890686904813343,0.300445556640625,0.32979583740234375,0.23632526397705078,0.29004077183362575,0.24073523697566432,24.0,27.5,30.75,-0.6224999874830246,-0.5400000214576721,-0.4300000071525574,14,1,75.49717712402344,9.5367431640625e-07,0,0,5.416170912009066,0.33871715174637984
