candidate_id,closure_pass,composite,condition_id,direction_median_deg,doppler_vs_gnss_rmse_mps,doppler_vs_lidar_rmse_mps,lidar_rank,model,path_fraction_of_gnss,position_rmse_m,range_rmse_m,split,time_offset_s
100m_cross_5_e0001,False,1.6628302840637628,100m_cross_5,2.7183246340727782,0.7355068368004543,0.5604678542007929,1,planar,0.6954184377501514,11.94711432726847,0.7264174381019973,calibration,96.30350231886815
200m_cross_5_e0003,True,2.093655820292536,200m_cross_5,2.2791977593212978,1.978730730142569,1.3166981638217006,3,planar,0.6348572454790172,9.984777437165548,1.8524061527392504,calibration,122.31215786932971
300m_cross_5_e0001,False,5.918087418208182,300m_cross_5,7.104229661107634,2.6394728718038025,1.2031481017119887,1,planar,0.2979240433196302,35.92945428938144,6.211698541757047,calibration,69.14805221557619
300m_roundtrip_10_e0003,False,4.05944366311851,300m_roundtrip_10,7.257232384865152,6.399211394388854,4.08854754387999,3,planar,0.343754139295467,8.746110578948084,4.22206321858492,calibration,95.43680845352634
100m_cross_5_e0001,True,0.7934717029229502,100m_cross_5,2.590782895438492,0.7314746289830671,0.5604678542007929,1,full_6dof,0.6954184377501514,3.7380612831030926,0.5090916492192606,calibration,96.305750645698
200m_cross_5_e0003,True,2.0919995398554367,200m_cross_5,2.3100551749986535,1.9770261232365214,1.3166981638217006,3,full_6dof,0.6348572454790172,9.982022408530458,1.843935074141755,calibration,122.31215786933898
300m_cross_5_e0001,False,5.646626501571567,300m_cross_5,6.059646208025576,2.6404246156132563,1.2031481017119887,1,full_6dof,0.2979240433196302,33.88407109485396,6.024725523738441,calibration,69.14805221557619
300m_roundtrip_10_e0003,False,3.543939701705891,300m_roundtrip_10,2.7432986268805415,6.397669103405143,4.08854754387999,3,full_6dof,0.343754139295467,4.936719887740104,4.196656921810756,calibration,95.61161984142167
300m_roundtrip_13_e0007,False,6.325686101563588,300m_roundtrip_13,42.503313972201326,4.854832492180366,1.00744826105989,7,full_6dof_frozen,0.010955615567432174,12.311584550562552,11.309348749540627,validation,71.87580728530884
100m_cross_10_e0003,True,1.3651209307066745,100m_cross_10,2.4445482575158026,1.5415102266001566,1.2437783568700902,3,full_6dof_frozen,0.5100249240662872,6.441106833119225,0.6866463463283856,validation,96.57586932182312
200m_cross_10_e0001,True,1.123307050344334,200m_cross_10,2.0469285784549403,0.8936036029910494,0.6064413028995128,1,full_6dof_frozen,0.3791373877351568,6.60521374234284,0.5321706738811287,validation,96.3393325805664
300m_cross_10_e0003,True,1.583932268940195,300m_cross_10,1.7221374407432448,2.0832152349726063,1.3779926098024553,3,full_6dof_frozen,0.21640930273864425,5.5803996775814175,1.4114164798973627,validation,129.75867342948914
300m_roundtrip_13_e0007,False,7.756825725422437,300m_roundtrip_13,41.04662703013254,2.808156118834186,1.00744826105989,7,planar_frozen,0.010955615567432174,22.831669471544785,16.82422983183531,validation,71.87580728530884
100m_cross_10_e0003,False,1.9691777309608334,100m_cross_10,2.230055805760006,1.5845088990865792,1.2437783568700902,3,planar_frozen,0.5100249240662872,12.512278963014076,0.6303216073299723,validation,96.57586932182312
200m_cross_10_e0001,True,1.1297677235749413,200m_cross_10,2.053427306682914,0.895670549669669,0.6064413028995128,1,planar_frozen,0.3791373877351568,6.691977222039222,0.5167189993080874,validation,96.3393325805664
300m_cross_10_e0003,False,2.343624565150455,300m_cross_10,2.9289870997881886,2.051600665433357,1.3779926098024553,3,planar_frozen,0.21640930273864425,13.091392712613914,1.3346652985152196,validation,130.00867342948914
