candidate_id,condition_id,coverage,displacement_m,lidar_rank,lidar_score,median_direction_cosine,median_doppler_residual_mps,median_extent_m,median_intensity,median_persistence,median_points,median_radial_velocity_mps,median_speed_mps,observations,p90_acceleration_mps2,path_length_m,span_frames,support_fraction,supported_observations
300m_roundtrip_10_e0001,300m_roundtrip_10,0.9230769230769231,45.72998003560815,1,69.04324552137756,0.673668709694941,0.3850308229785511,1.2013980474859784,34.40548780487805,0.026063829787234045,15.5,-1.1033333275053236,0.7261218683589364,24,1.551376712310959,49.830858145042605,26,1.0,24
300m_roundtrip_10_e0002,300m_roundtrip_10,0.9726027397260274,230.54811525473306,2,60.95528663771596,0.9979611847944719,2.6315276471731517,0.15260551713883724,32.45454545454545,0.006595744680851064,16.0,-5.023750007152557,3.302797803021685,71,3.479040664197588,252.53697616471223,73,0.9154929577464789,65
300m_roundtrip_10_e0003,300m_roundtrip_10,0.9857142857142858,220.45447772679293,3,50.89646643780666,0.9972084999157567,2.992672331233438,0.20723317593279905,29.11111111111111,0.004255319148936171,11.0,5.064285618918283,2.768713744592385,69,3.470449234189645,232.74182391209203,70,0.9855072463768116,68
300m_roundtrip_10_e0004,300m_roundtrip_10,0.9166666666666666,24.529727451298488,4,9.487070099375,0.9889257479974118,2.019018108260646,0.4337586253270053,45.86363636363637,0.014609929078014183,45.0,1.4673239404047038,1.3482234193361287,11,3.4588253300157423,26.331236683178062,12,1.0,11
300m_roundtrip_10_e0005,300m_roundtrip_10,0.7777777777777778,6.040507486344058,5,7.289440653456404,0.859217043011592,0.25266752512388935,1.4973497392982313,20.6,0.08936170212765958,5.0,-0.06750000012107193,0.9759622117913057,7,1.7852671234140758,12.56015161517686,9,1.0,7
300m_roundtrip_10_e0006,300m_roundtrip_10,1.0,7.092900925460603,6,6.294841993605154,0.9575880582270437,1.4523361229411231,0.3440959641518594,21.0,0.010520094562647755,8.0,-3.025714287682185,1.340315959123208,6,0.7981336173800215,7.211440270347279,6,1.0,6
300m_roundtrip_10_e0007,300m_roundtrip_10,1.0,1.661279740200637,7,3.893803310119065,0.4293523018366456,1.1118811572231033,1.8022976707290619,18.416666666666664,0.1276595744680851,3.0,-0.08416666742414236,2.919847789162116,12,4.171904354080272,29.227638694815525,12,0.75,9
300m_roundtrip_10_e0008,300m_roundtrip_10,1.0,9.033628201167165,8,3.0022294672895367,0.7159065134542546,0.8946639784258361,0.0,22.333333333333332,0.1021276595744681,3.0,-0.020000000173846882,0.7453104119197776,9,2.022898147105192,10.949618607786572,9,0.5555555555555556,5
300m_roundtrip_10_e0009,300m_roundtrip_10,0.9473684210526315,7.323818805772823,9,2.8264441130676348,0.5316915982981787,1.538514850732665,0.926595028670871,17.3,0.1276595744680851,2.5,-0.08750000083819032,2.724006387265964,18,4.803612354723254,48.3242602279054,19,0.5,9
300m_roundtrip_10_e0010,300m_roundtrip_10,1.0,8.609379763467357,10,2.7960059973626654,0.7725851390257863,0.967165664358836,0.8550720342052383,19.0,0.08936170212765958,4.0,-0.03399999961256981,3.5005542748157783,9,4.513397883726076,22.11109187487071,9,0.6666666666666666,6
300m_roundtrip_10_e0011,300m_roundtrip_10,0.8888888888888888,12.450273188601386,11,2.7851026790497557,0.524386321323345,0.5141843948866873,0.0,16.42857142857143,0.11063829787234042,3.5,-0.0400000000372529,3.4589526307152605,8,4.248546049513305,26.415061924457753,9,0.625,5
300m_roundtrip_10_e0012,300m_roundtrip_10,0.9,11.963737862914078,12,2.7214152192735352,0.45428107855543487,1.08682878694046,0.0,18.0,0.12680851063829787,4.0,-0.037999999895691874,2.0818869919330334,9,3.612871590015671,19.37461605100807,10,0.6666666666666666,6
300m_roundtrip_10_e0013,300m_roundtrip_10,0.8571428571428571,14.634352510423804,13,2.684420974541596,0.38367680283688177,1.1303441848411104,1.9594707094314758,15.583333333333334,0.13522458628841608,5.5,-2.9277499764692037,2.9433668701708515,6,3.881168195690767,17.16950601620218,7,1.0,6
300m_roundtrip_10_e0014,300m_roundtrip_10,1.0,7.0021859392666475,14,2.6000021538449145,0.3676969664242784,1.7049637724046809,2.09071479621493,15.2,0.10638297872340426,4.0,-0.620000014702479,1.8006148039584822,11,4.586277509101183,20.14408138307285,11,0.7272727272727273,8
300m_roundtrip_10_e0015,300m_roundtrip_10,1.0,13.893319291093073,15,2.5312887815043337,0.419929139907695,1.6224044127598618,1.362364337633657,18.0,0.08936170212765958,3.0,0.3547368501558116,2.85309352233287,11,3.8326980345162904,26.270546124890704,11,0.6363636363636364,7
300m_roundtrip_10_e0016,300m_roundtrip_10,0.75,1.7775900543708658,16,2.360719058874783,0.5581899980813952,0.6182581659965126,3.352149963787922,17.13888888888889,0.11702127659574468,3.5,-0.08722222161789736,2.1564022944452277,6,3.296003804771968,17.35216585516162,8,0.8333333333333334,5
300m_roundtrip_10_e0017,300m_roundtrip_10,1.0,16.165364237908932,17,2.2176067047888,0.7268278817857218,1.6321632946686095,0.5230816828952948,20.94385026737968,0.11061743846474761,5.0,-0.05294118021779201,2.416218659484691,6,3.446642675905406,17.123497857747477,6,0.8333333333333334,5
300m_roundtrip_10_e0018,300m_roundtrip_10,1.0,2.7561493537837056,18,1.9704505481367263,0.574043206884762,1.234392201438525,1.1671259475430862,17.8,0.10638297872340426,3.0,-0.07999999821186066,3.282160938376368,9,5.173536280007128,25.252881168710978,9,0.6666666666666666,6
300m_roundtrip_10_e0019,300m_roundtrip_10,1.0,6.8552964089884165,19,1.884687245154923,0.40411973710852905,0.889602515356021,2.143894639562089,18.333333333333332,0.11063829787234043,3.0,0.004999999888241291,2.112022702160545,7,4.74260530157762,18.11520226716423,7,0.7142857142857143,5
300m_roundtrip_10_e0020,300m_roundtrip_10,1.0,13.655691692206307,20,1.8727396175108764,0.5298348873212313,1.926404678956425,2.118366624681493,15.0,0.05638297872340425,3.0,0.044999999925494194,2.865458478913332,10,4.625476176319538,22.97478431863618,10,0.7,7
