candidate_id,composite,condition_id,direction_median_deg,doppler_vs_gnss_rmse_mps,doppler_vs_lidar_rmse_mps,lidar_rank,model,path_fraction_of_gnss,position_rmse_m,range_rmse_m,split,time_offset_s
300m_roundtrip_10_e0003,35.12992253830424,300m_roundtrip_10,80.76675381959265,8.35402739296424,4.08854754387999,3,full_6dof_frozen,0.343754139295467,102.3463510801951,99.01495047463668,calibration,58.271599769592285
300m_roundtrip_10_e0003,34.97431616191573,300m_roundtrip_10,80.76675381959397,8.321079960518745,4.08854754387999,3,full_6dof_frozen,0.343754139295467,101.87122065527568,98.52939619256279,calibration,58.521599769592285
300m_roundtrip_10_e0003,34.77123772362014,300m_roundtrip_10,79.21351080441642,8.283790148965126,4.08854754387999,3,full_6dof_frozen,0.343754139295467,101.38949672950426,98.03890750920432,calibration,58.771599769592285
300m_roundtrip_10_e0003,34.414379201952954,300m_roundtrip_10,72.25817661755264,8.248161843508486,4.08854754387999,3,full_6dof_frozen,0.343754139295467,100.90823436398425,97.54824576227482,calibration,59.021599769592285
300m_roundtrip_10_e0003,34.050810711848186,300m_roundtrip_10,65.01340085451787,8.214017244214066,4.08854754387999,3,full_6dof_frozen,0.343754139295467,100.43097789322461,97.06090717876927,calibration,59.271599769592285
300m_roundtrip_10_e0003,33.70177569362209,300m_roundtrip_10,58.334253737826415,8.182881664511108,4.08854754387999,3,full_6dof_frozen,0.343754139295467,99.94480242400583,96.56487632889952,calibration,59.521599769592285
300m_roundtrip_10_e0003,33.47328933256315,300m_roundtrip_10,55.918342977838606,8.152172517598512,4.08854754387999,3,full_6dof_frozen,0.343754139295467,99.45276082797814,96.06477734170933,calibration,59.771599769592285
300m_roundtrip_10_e0003,33.119595666641615,300m_roundtrip_10,49.09441892242337,8.123524086126473,4.08854754387999,3,full_6dof_frozen,0.343754139295467,98.9611624922197,95.56470185939841,calibration,60.021599769592285
300m_roundtrip_10_e0003,32.7598516478429,300m_roundtrip_10,42.00525526396359,8.096390729193075,4.08854754387999,3,full_6dof_frozen,0.343754139295467,98.47343234334856,95.0678067668903,calibration,60.271599769592285
300m_roundtrip_10_e0003,32.414555090496314,300m_roundtrip_10,35.45861011724729,8.073378239111529,4.08854754387999,3,full_6dof_frozen,0.343754139295467,97.97745923975901,94.56289970304752,calibration,60.521599769592285
300m_roundtrip_10_e0003,32.16091279369352,300m_roundtrip_10,32.12507343987967,8.053882401410783,4.08854754387999,3,full_6dof_frozen,0.343754139295467,97.47560006441503,94.05433039487833,calibration,60.771599769592285
300m_roundtrip_10_e0003,32.14726182291489,300m_roundtrip_10,37.17421369368928,8.036077832265484,4.08854754387999,3,full_6dof_frozen,0.343754139295467,96.97371471503455,93.54538674704007,calibration,61.021599769592285
300m_roundtrip_10_e0003,32.19713934506157,300m_roundtrip_10,44.393557613453986,8.019861401940648,4.08854754387999,3,full_6dof_frozen,0.343754139295467,96.47560603750604,93.0395212347318,calibration,61.271599769592285
300m_roundtrip_10_e0003,32.22913809214577,300m_roundtrip_10,51.059324489671816,8.005057435051398,4.08854754387999,3,full_6dof_frozen,0.343754139295467,95.96887980803578,92.52529895214836,calibration,61.521599769592285
300m_roundtrip_10_e0003,32.19049067427875,300m_roundtrip_10,55.24006101032338,7.995407112028516,4.08854754387999,3,full_6dof_frozen,0.343754139295467,95.45574508235215,92.00746502298108,calibration,61.771599769592285
300m_roundtrip_10_e0003,31.96258834225067,300m_roundtrip_10,52.78130765581912,7.986933887012737,4.08854754387999,3,full_6dof_frozen,0.343754139295467,94.94314785858832,91.4896244956305,calibration,62.021599769592285
300m_roundtrip_10_e0003,31.56593889384773,300m_roundtrip_10,44.36123578802747,7.980122522780042,4.08854754387999,3,full_6dof_frozen,0.343754139295467,94.43445627165026,90.97494273049047,calibration,62.271599769592285
300m_roundtrip_10_e0003,31.352240370148163,300m_roundtrip_10,42.477369876416304,7.970035851459528,4.08854754387999,3,full_6dof_frozen,0.343754139295467,93.91658803454935,90.45131905106936,calibration,62.521599769592285
300m_roundtrip_10_e0003,31.192191131459317,300m_roundtrip_10,42.477369876417,7.963320289373046,4.08854754387999,3,full_6dof_frozen,0.343754139295467,93.39230533076476,89.92440681299482,calibration,62.771599769592285
300m_roundtrip_10_e0003,31.03221776281744,300m_roundtrip_10,42.47736987641687,7.956969207764779,4.08854754387999,3,full_6dof_frozen,0.343754139295467,92.86822431222966,89.39716561506674,calibration,63.021599769592285
300m_roundtrip_10_e0003,30.87368373455052,300m_roundtrip_10,42.47736987641514,7.952138331992017,4.08854754387999,3,full_6dof_frozen,0.343754139295467,92.34772976645581,88.8727942062406,calibration,63.271599769592285
300m_roundtrip_10_e0003,30.75707168693978,300m_roundtrip_10,44.09751779825042,7.942768568612907,4.08854754387999,3,full_6dof_frozen,0.343754139295467,91.8175602207123,88.33898531023785,calibration,63.521599769592285
300m_roundtrip_10_e0003,30.630722998844757,300m_roundtrip_10,45.41222463849502,7.933893429896282,4.08854754387999,3,full_6dof_frozen,0.343754139295467,91.28074547990082,87.80262587513742,calibration,63.771599769592285
300m_roundtrip_10_e0003,30.465856910279783,300m_roundtrip_10,45.412224638495644,7.923087301380157,4.08854754387999,3,full_6dof_frozen,0.343754139295467,90.74299270965169,87.26518203163056,calibration,64.02159976959229
