best_composite,best_offset_s,best_position_rmse_m,best_range_rmse_m,boundary_solution,candidate_id,condition_id,interior_local_minima,lidar_rank,model,near_best_high_s,near_best_low_s,near_best_width_s,search_high_s,search_low_s,split
3.543741161865336,95.77159976959229,4.946462643374907,4.1882830072992965,False,300m_roundtrip_10_e0003,300m_roundtrip_10,2,3,full_6dof_frozen,96.77159976959229,94.52159976959229,2.25,123.83905076980591,58.271599769592285,calibration
4.056671682475018,95.52159976959229,8.747970896492948,4.206165962023538,False,300m_roundtrip_10_e0003,300m_roundtrip_10,2,3,planar_frozen,96.77159976959229,94.27159976959229,2.5,123.83905076980591,58.271599769592285,calibration
0.7910191573614264,96.17915320396423,3.7612454499783663,0.49570680600183176,False,100m_cross_5_e0001,100m_cross_5,1,1,full_6dof_frozen,97.17915320396423,94.92915320396423,2.25,97.2018792629242,90.17915320396423,calibration
1.660231936407132,96.17915320396423,11.953460298718337,0.7203851292617532,False,100m_cross_5_e0001,100m_cross_5,1,1,planar_frozen,97.17915320396423,94.17915320396423,3.0,97.2018792629242,90.17915320396423,calibration
2.1149411283564303,122.2219409942627,10.13208908168177,1.881269134950698,True,200m_cross_5_e0003,200m_cross_5,2,3,full_6dof_frozen,122.2219409942627,121.4719409942627,0.75,122.31215786933899,106.2219409942627,calibration
2.1163468848523506,122.2219409942627,10.134451615882899,1.8887069193383168,True,200m_cross_5_e0003,200m_cross_5,2,3,planar_frozen,122.2219409942627,121.4719409942627,0.75,122.31215786933899,106.2219409942627,calibration
5.646626501571567,69.14805221557617,33.88407109485396,6.024725523738441,True,300m_cross_5_e0001,300m_cross_5,0,1,full_6dof_frozen,69.14805221557617,69.14805221557617,0.0,90.91049075126648,69.14805221557617,calibration
5.918087418208182,69.14805221557617,35.92945428938144,6.211698541757047,True,300m_cross_5_e0001,300m_cross_5,0,1,planar_frozen,69.14805221557617,69.14805221557617,0.0,90.91049075126648,69.14805221557617,calibration
6.325686101563588,71.87580728530884,12.311584550562552,11.309348749540627,True,300m_roundtrip_13_e0007,300m_roundtrip_13,0,7,full_6dof_frozen,72.12580728530884,71.87580728530884,0.25,139.5902853012085,71.87580728530884,validation
7.756825725422437,71.87580728530884,22.831669471544785,16.82422983183531,True,300m_roundtrip_13_e0007,300m_roundtrip_13,0,7,planar_frozen,72.12580728530884,71.87580728530884,0.25,139.5902853012085,71.87580728530884,validation
1.3651209307066745,96.57586932182312,6.441106833119225,0.6866463463283856,False,100m_cross_10_e0003,100m_cross_10,1,3,full_6dof_frozen,97.32586932182312,95.07586932182312,2.25,107.5599262714386,89.82586932182312,validation
1.9691777309608334,96.57586932182312,12.512278963014076,0.6303216073299723,False,100m_cross_10_e0003,100m_cross_10,1,3,planar_frozen,97.82586932182312,94.82586932182312,3.0,107.5599262714386,89.82586932182312,validation
1.123307050344334,96.3393325805664,6.60521374234284,0.5321706738811287,True,200m_cross_10_e0001,200m_cross_10,2,1,full_6dof_frozen,96.3393325805664,95.8393325805664,0.5,96.57479953765869,75.0893325805664,validation
1.1297677235749413,96.3393325805664,6.691977222039222,0.5167189993080874,True,200m_cross_10_e0001,200m_cross_10,2,1,planar_frozen,96.3393325805664,95.8393325805664,0.5,96.57479953765869,75.0893325805664,validation
1.583932268940195,129.75867342948914,5.5803996775814175,1.4114164798973627,False,300m_cross_10_e0003,300m_cross_10,3,3,full_6dof_frozen,130.25867342948914,129.00867342948914,1.25,140.35867285728455,107.75867342948914,validation
2.343624565150455,130.00867342948914,13.091392712613914,1.3346652985152196,False,300m_cross_10_e0003,300m_cross_10,2,3,planar_frozen,130.50867342948914,128.75867342948914,1.75,140.35867285728455,107.75867342948914,validation
